keyword,volume,traffic_potential,keyword_difficulty,opportunity_score,parent_topic,gap_type,your_page,page_chars,products_shown,blog_links_in,has_faq,competitors,top_competitor_url
dome wrecker,900,400,0,400,dome wrecker,Content gap (no page),,,,,,1,https://smokea.com/collections/dome-wrecker
vape battery,11000,19000,48,388,510 thread battery,Content gap (no page),,,,,,1,https://dankgeek.com/collections/vape-batteries-chargers-power-supplies
steamroller pipes,200,350,0,350,steamroller pipes,Optimize existing,/collections/steamroller-pipes,3298,4,0,0,1,https://dankgeek.com/collections/glass-steamroller-pipes
glass pipes online,350,27000,80,333,bongs,Optimize existing,/collections/unique-glass-hand-pipes-sneaker,2251,0,2,0,1,https://smokea.com/collections/glass-pipes
gravity bongs,1800,9600,30,310,gravity bong,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/gravity-bongs
tobacco pipe parts,4500,1500,4,300,tobacco pipe parts,Content gap (no page),,,,,,2,https://smokea.com/collections/pipe-parts-accessories
reclaim catcher,2100,300,0,300,reclaim catcher,Content gap (no page),,,,,,1,https://inhalco.com/collections/reclaim-catchers
lava lamp bong,1000,300,0,300,lava lamp bong,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/lava-lamp-silicone
electric dab rig under $50,800,300,0,300,electric dab rig under $50,Optimize existing,/collections/dab-rigs-under-50,4852,19,0,1,1,https://inhalco.com/collections/dab-rigs-under-50
hand pipe,1200,3100,10,282,glass weed pipe,Content gap (no page),,,,,,1,https://inhalco.com/collections/hand-pipes
skull bongs,100,250,0,250,skull bong,Optimize existing,/collections/skull-bongs,3533,9,0,1,1,https://inhalco.com/collections/skull-bongs-and-accessories
puffco dab rig,2000,4800,22,209,puffco dab rig,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/new-puffco-peak
weed grinder,12000,8300,39,208,weed grinders,Optimize existing,/collections/herb-grinders,8202,30,32,1,1,https://www.smokecartel.com/collections/grinder
mushroom bong,2000,200,0,200,mushroom bong,Optimize existing,/collections/mushroom-bongs,4498,17,0,1,1,https://inhalco.com/collections/mushroom-bong
wax pen,19000,8100,43,184,wax vape pen,Content gap (no page),,,,,,3,https://dankgeek.com/collections/dab-wax-pens
herb grinder,4600,8300,45,180,weed grinders,Optimize existing,/collections/herb-grinders,8202,30,32,1,1,https://dankgeek.com/collections/weed-grinders
glass pipe for smoking,2000,9700,55,173,pipes,Content gap (no page),,,,,,1,https://dankgeek.com/collections/hand-pipes
water pipe,14000,5300,33,156,water pipe,Content gap (no page),,,,,,2,https://dankgeek.com/collections/water-pipes
1 hose hookah,1400,150,0,150,1 hose hookah,Content gap (no page),,,,,,1,https://www.smokecartel.com/products/amira-1-hose-premium-hookah-hieros
e nails,2000,5400,43,123,e nail,Content gap (no page),,,,,,2,https://www.smokecartel.com/Guides
nectar collector dab straw,200,1800,14,120,dab straw,Optimize existing,/collections/nectar-collectors-straws,6912,29,15,1,1,https://dankgeek.com/collections/dab-straws
cool bongs,4900,7800,70,110,cool bongs,Content gap (no page),,,,,,1,https://smokea.com/collections/bongs-cheap
mini bongs,1100,5600,55,100,mini bongs,Optimize existing,/collections/mini-bongs,4546,15,1,1,1,https://smokea.com/collections/small-bongs
glass joint,1300,400,4,80,glass joint,Content gap (no page),,,,,,1,https://dankgeek.com/collections/glass-blunts-joints
joint roller,5200,2300,28,79,joint roller,Content gap (no page),,,,,,1,https://dankgeek.com/blogs/guides/the-top-10-rolling-machines-for-easier-joint-rolling
parts of a bong,900,150,1,75,parts of a bong,Content gap (no page),,,,,,1,https://dankgeek.com/collections/bong-parts-accessories
glass blunt,8300,2100,31,66,glass blunt,Optimize existing,/collections/glass-blunts,3509,2,0,1,1,https://smokea.com/collections/glass-blunts
quartz bangers,500,450,6,64,quartzbangers,Optimize existing,/collections/quartz-bangers-nails,4022,5,23,0,1,https://dankgeek.com/collections/quartz-bangers
white rhino glass,1300,60,0,60,rhino glass,Content gap (no page),,,,,,1,https://smokea.com/collections/white-rhino
silicone pipe,1800,800,13,57,silicone pipes,Content gap (no page),,,,,,1,https://smokea.com/collections/silicone-pipes
vape pen,25000,2400,57,41,weed pen brands,Optimize existing,/collections/vape-pens,3492,8,26,0,1,https://smokea.com/collections/vaporizers
cart batteries,2600,1300,37,34,pen cart battery,Content gap (no page),,,,,,1,https://smokea.com/collections/vape-pen-batteries
silicone dab rig,1500,20,0,20,silicone rig,Optimize existing,/collections/silicone-dab-rigs,3474,6,6,1,2,https://dankgeek.com/collections/silicone-rigs
ceramic bongs online,70,350,26,13,ceramic bong,Optimize existing,/collections/buy-ceramic-bongs-online-artisan-pipes,5697,23,1,0,1,https://dankgeek.com/collections/ceramic-bongs
best dugout,150,350,28,12,one hitter dugout,Optimize existing,/collections/chillums-dugouts,5891,23,0,0,1,https://dankgeek.com/collections/dugouts
best bongs,2000,200,34,6,best water bong,Optimize existing,/collections/bongs-water-pipes,7664,28,55,1,1,https://www.smokecartel.com/blogs/insights/water-pipes-smoke-prism-glass-review
quartz nails,400,0,1,0,quarts nails,Optimize existing,/collections/quartz-bangers-nails,4022,5,23,0,1,https://dankgeek.com/collections/quartz-nails
disposable weed pen,14000,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/disposables
coned edibles,8500,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/baked-bags-600mg-delta-8-coned-infused-edibles
thc cartridge,8100,,,,,Content gap (no page),,,,,,1,https://smokea.com/Hi
cookies cart,5100,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/cookies
thca vapes,4200,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thca
torch disposable vape,3800,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/torch
kratom for sale,3700,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/kratom
thcp vape,2700,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thcp
dab wax,2500,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/affordable-dab-pens
how to dry weed,2000,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/what-to-do-with-old-weed
delta 9 carts,2000,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/delta-9
baja blast vape,2000,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/litty-5g-thca-loaded-live-diamonds-vape-baja-blast
high club,1600,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/daily-high-club
hydroxie tablets,1600,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/hydroxie
what is thc-p,1600,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thcp?page=8
weeday bong,1400,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/weeday
thca dabs,1400,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thca-dabs
puffco weed,1100,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/puffco
puffco peak glass replacement,1100,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/best-puffco-peak-glass-replacements-you-must-try
plur beyond molly,1100,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/plur-beyond-molly-5mapb-heart-soft-gels-booster-pack
weed vape pod,1000,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/pod-vapes
weed mystery box,900,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/Insights
fake cart brand list,900,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/how-to-spot-fake-carts
handheld concentrates,900,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/portable-vaporizers
straight tube bong,800,,,,,Content gap (no page),,,,,,3,https://www.smokecartel.com/collections/straight-tube-bongs-and-water-pipes
vape accessories,800,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/vaporizer-parts-and-accessories
acrylic bong,800,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/acrylic-pipes
beaker bongs,700,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/beaker-bongs
ice catcher bong,700,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/ice-bongs
stoner box,700,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/themed-subscription-box
ocb weed,700,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/Culture
plastic bong,700,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/acrylic-bongs
alien bong,700,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections
big bongs,700,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/big-bongs
backwood roller,700,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/blunt-roller
xmax qomo,700,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/qomo
vibes papers,700,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/vibes
marley natural,600,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/marley-natural?filter.p.vendor=Marley+Natural
how to clean a glass bong without alcohol,600,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/cleaning-glass-bong-without-alcohol
yocan xl,600,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/yocan-evolve-plus-xl-review
hammer bubbler,600,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/hammer-bubblers
afm glass,600,,,,,Content gap (no page),,,,,,2,https://dankgeek.com/collections/afm
cali crusher,600,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/cali-crusher
titanium dab nail,600,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/titanium-nails
fat ass glass,600,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/thick-ass-glass
nectar collector glass,600,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/glass-nectar-collector
dab straws,600,,,,,Content gap (no page),,,,,,2,https://inhalco.com/Nectar
mini bubbler water pipe,600,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/bubblers
thca disposables,600,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thca-disposables
oil vape pen,600,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/oil-vaporizers
hi on nature,600,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/hi-on-nature
perc bong,500,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/percolator-bongs
la pipes,500,,,,,Content gap (no page),,,,,,2,https://dankgeek.com/collections/la-pipes
best bong cleaner,500,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/insightshow-to-clean-a-bong-best-bong-cleaners
stone pipe,500,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/stone-pipes
metal bong,500,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/metal-bongs
sherlock glass,500,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/sherlock-pipes
zip meaning weed,500,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/zip-of-weed
metal smoking pipe,500,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/metal-pipes
tall bongs,500,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/tall-bongs
baja blast cart,500,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/litty-af-blend-vape-cartridges-baja-blast-3-pack
glycerin bong,500,,,,,Content gap (no page),,,,,,1,https://smokea.com/blogs/blog/glycerin-water-pipe
yocan dab rig,450,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/electric-rigs?filter.p.vendor=Yocan
glass banger,450,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/Accessories/Dab
pulsar glass,450,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/pulsar
bubble bong,450,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/bubble-bongs
freeze bong,450,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/glycerin-bong-and-accessories
purple bong,450,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/top-10-purple-bongs
14mm downstem,450,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/bong-downstems
pulsar bongs,400,,,,,Content gap (no page),,,,,,2,https://www.smokecartel.com/collections/glass-bongs?filter.p.vendor=Pulsar
bong attachments,400,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/bong-accessories
reclaim catcher for dab rig,400,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/reclaimers
puffco peak temp settings,400,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/blogs/guides/puffco-new-peak-the-complete-user-guide
calibear glass,400,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/calibear
anime bongs,400,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/cartoon-bongs
spinner carb cap,400,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/carb-caps
dab pearls,400,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/how-to-use-terp-pearls
6 foot bong,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/headway-big-boy-36-72-3ft-6ft-acrylic-bong
thca carts for sale,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/thca-cartridges
joint tips,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/filters-tips
glass screen for pipe,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/screens
pulsar battery vape,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/pulsar-digital-display-thermo-change-510-vape-battery
wunder gummies,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/wunder
12 inch bong,400,,,,,Content gap (no page),,,,,,1,https://smokea.com/products/human-grade-12-beaker-bong
small water pipe,350,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/mini-bongs
steam roller for weed,350,,,,,Content gap (no page),,,,,,2,https://smokea.com/collections/steamrollers
silicone water pipe,350,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/silicone-bongs
4 piece grinder,350,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/4-part-grinders
rubber bong,350,,,,,Content gap (no page),,,,,,2,https://smokea.com/collections/silicone-bongs
star wars bong,350,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/top-7-star-wars-bongs
dinosaur bong,350,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/top-8-dinosaur-bongs
bong types,350,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/different-types-of-bongs-and-why-your-choice-really-matters
glass gandalf pipe,350,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/8-best-gandalf-pipes-you-deserve
litty carts,350,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/litty
portable vaporizers,350,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/portable-vaporizers
pulsar dab pen,300,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/dab-pens-wax-vaporizers?filter.p.vendor=Pulsar
clear bong,300,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/glass-bongs
silicone dab straw,300,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/silicone-dab-straws
silicone bubbler,300,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/silicone-bubblers
sherlock pipes,300,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/blogs/guides/the-top-10-sherlock-pipes-products-on-dankgeek
glass steamroller pipe,300,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/blogs/guides/the-top-10-glass-steamrollers-you-can-find-at-dankgeek
nectar collector silicone,300,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/silicone-nectar-collector
borosilicate glass bong,300,,,,,Content gap (no page),,,,,,1,https://inhalco.com/collections/glass-bongs
collapsible bong,300,,,,,Content gap (no page),,,,,,2,https://smokea.com/products/smokea-fold-a-bowl-silicone-bong
puffco carb cap,300,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/puffco-peak-carb-cap-2pcs
seahorse wax pen,300,,,,,Content gap (no page),,,,,,1,https://inhalco.com/products/lookah-seahorse-pro-plus-electric-dab-pen-kit-650mah
crystal ball bong,300,,,,,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/top-8-crystal-ball-bongs
delta 8 wax,300,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/dabs
where can i buy magic mushrooms,300,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/mushrooms
ooze weed pen,300,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/ooze
plume vape,300,,,,,Content gap (no page),,,,,,1,https://smokea.com/collections/plume
dabs vape,250,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/dab-pens-wax-vaporizers
bong banger,250,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/quartz-nails-bangers-and-domeless-dab-nails
seahorse tips,250,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/lookah-seahorse-coils-review
good cheap bongs,250,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/best-bongs-under-36
glycerin pipe,250,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/glycerin-coil-pipes
easy clean bong,250,,,,,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/easy-clean
12 inch beaker bong,250,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/beaker-bongs
dab glass,250,,,,,Content gap (no page),,,,,,1,https://dankgeek.com/collections/glass-dab-rigs
